AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
4,2,2,6,4,2,4,2,6,6,3,2,2,6,6,5,2,2,2,6,6,6,6,6,612,6,5,6,17,24,11,0.855519101232102,-1.507039625459737,1.6107221329212742,0.26582338907278696,0.050362050355412635,0.5611195533170845,1,3,1,1
3,2,1,6,4,2,5,3,2,1,6,4,4,3,3,3,3,1,2,4,7,7,7,7,21,7,6,6,9,28,13,-1.2737223486446165,-1.507039625459737,-0.0648646170958153,1.1442866201492612,0.7375603503663616,-0.5056380693935977,1,3,1,0
4,2,2,6,4,2,4,4,6,2,1,3,3,2,2,2,5,3,4,6,6,5,5,5,461,7,6,12,6,21,13,0.3114997121773059,-0.19174850805368054,-0.6932096483522239,-0.39302403423456883,0.7375603503663616,0.5611195533170845,1,3,1,1
3,2,2,5,4,2,6,4,5,3,1,2,2,2,2,2,3,5,3,6,6,6,6,6,7,6,6,11,6,24,12,-1.3241612323980412,-0.41096369428802326,-0.6932096483522239,0.26582338907278696,0.3939612003608871,0.5611195533170845,1,3,1,1
6,1,2,1,3,5,6,6,6,1,6,6,6,3,4,4,6,5,6,1,1,6,7,7,714,1,1,17,11,21,2,1.223002397149911,0.9043274231180332,0.3540320704084571,-0.39302403423456883,-3.0420302996938577,-2.105774503459621,0,2,4,1
4,2,2,5,4,2,6,5,2,2,3,5,5,3,3,3,6,6,6,3,4,5,4,3,527,5,5,18,9,16,10,0.5492830213005943,1.123542609352376,-0.0648646170958153,-1.4911030730801618,-0.29323709965006184,-1.0390168807489388,1,3,1,1
4,2,2,5,4,2,5,3,6,5,5,1,1,7,5,6,6,6,2,7,7,7,7,7,215,7,7,14,18,28,14,-0.574783530918587,0.24668186441500492,1.8201704766734104,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
4,1,2,6,4,2,6,1,3,6,5,1,1,6,6,6,6,1,2,6,5,7,7,7,821,7,5,9,18,26,12,1.608499580122515,-0.8493940667567087,1.8201704766734104,0.7050550046110241,0.3939612003608871,0.5611195533170845,0,3,1,1
3,2,1,5,3,2,5,1,5,3,6,2,2,1,1,1,4,7,1,7,6,7,7,7,816,7,7,12,3,27,14,1.5904856930677205,-0.19174850805368054,-1.3215546796086324,0.9246708123801427,1.0811595003718362,1.0944983646724256,1,2,1,0
4,2,2,6,4,2,6,6,4,5,1,2,2,6,3,3,5,5,3,7,7,7,7,7,514,7,6,13,12,28,13,0.5024469149581283,0.0274666781806622,0.5634804141605932,1.1442866201492612,0.7375603503663616,1.0944983646724256,1,3,1,1
3,2,1,6,3,2,5,6,5,3,6,1,1,7,6,6,3,5,5,6,7,7,6,7,142,7,7,13,19,27,14,-0.8377862819185878,0.0274666781806622,2.0296188204255468,0.9246708123801427,1.0811595003718362,0.5611195533170845,1,2,1,0
4,2,2,6,4,2,4,1,4,2,3,2,2,2,2,7,1,1,1,4,7,7,7,7,71,4,2,3,11,28,6,-1.0935834780966707,-2.164685184162765,0.3540320704084571,1.1442866201492612,-1.6676336996719598,-0.5056380693935977,1,3,1,1
4,2,2,3,3,2,5,5,6,6,4,6,6,2,3,2,2,2,2,7,6,6,6,6,182,6,6,6,7,24,12,-0.6936751854802312,-1.507039625459737,-0.4837613046000877,0.26582338907278696,0.3939612003608871,1.0944983646724256,1,2,1,1
4,2,2,6,4,2,2,1,3,1,3,2,2,4,2,5,6,7,4,6,6,7,7,7,142,7,7,17,11,27,14,-0.8377862819185878,0.9043274231180332,0.3540320704084571,0.9246708123801427,1.0811595003718362,0.5611195533170845,1,3,1,1
3,2,1,6,4,2,5,1,4,2,1,1,1,4,4,4,4,3,1,1,4,4,5,5,314,7,7,8,12,18,14,-0.21810856723365452,-1.0686092529910514,0.5634804141605932,-1.0518714575419246,1.0811595003718362,-2.105774503459621,1,3,1,0
3,1,1,3,4,2,2,5,5,5,3,1,1,1,2,2,2,1,2,6,6,7,7,7,137,7,7,5,5,27,14,-0.8558001689733824,-1.7262548116940797,-0.90265799210436,0.9246708123801427,1.0811595003718362,0.5611195533170845,0,3,1,0
3,2,2,6,4,2,5,4,5,6,3,3,3,4,3,3,2,5,2,6,6,6,6,6,713,6,6,9,10,24,12,1.2193996197389523,-0.8493940667567087,0.14458372665632088,0.26582338907278696,0.3939612003608871,0.5611195533170845,1,3,1,1
3,2,2,6,4,2,6,3,5,4,2,2,2,5,2,2,2,1,1,7,7,7,7,7,147,6,6,4,9,28,12,-0.8197723948637932,-1.9454699979284225,-0.0648646170958153,1.1442866201492612,0.3939612003608871,1.0944983646724256,1,3,1,1
4,2,1,5,3,2,4,3,4,1,4,2,2,5,7,7,3,6,5,6,5,7,5,7,1,7,7,14,19,24,14,-1.3457778968637948,0.24668186441500492,2.0296188204255468,0.26582338907278696,1.0811595003718362,0.5611195533170845,1,2,1,0
3,1,2,6,4,2,6,6,1,6,6,6,6,4,4,4,6,6,6,4,2,1,1,3,1,2,2,18,12,7,4,-1.3457778968637948,1.123542609352376,0.5634804141605932,-3.467645343002229,-2.354831999682909,-0.5056380693935977,0,3,1,1
4,2,2,5,3,2,5,6,6,4,2,4,4,2,3,3,2,6,6,6,6,6,5,6,51,6,6,14,8,23,12,-1.165639026315849,0.24668186441500492,-0.2743129608479515,0.04620758130366836,0.3939612003608871,0.5611195533170845,1,2,1,1
3,1,2,5,4,2,4,1,1,1,5,1,1,4,3,4,5,2,3,7,6,6,5,5,147,7,6,10,11,22,13,-0.8197723948637932,-0.630178880522366,0.3540320704084571,-0.17340822646545023,0.7375603503663616,1.0944983646724256,0,3,1,1
3,2,1,5,3,2,4,1,6,2,6,3,3,5,5,5,4,7,3,6,5,5,5,5,1,6,6,14,15,20,12,-1.3457778968637948,0.24668186441500492,1.1918254454170019,-0.6126398420036874,0.3939612003608871,0.5611195533170845,1,2,1,0
4,2,2,6,4,2,3,3,3,3,3,3,3,3,2,3,2,1,2,7,6,6,6,7,8,6,6,5,8,25,12,-1.3205584549870824,-1.7262548116940797,-0.2743129608479515,0.4854391968419055,0.3939612003608871,1.0944983646724256,1,3,1,1
3,2,1,6,3,2,6,2,3,2,3,3,3,1,1,2,2,6,2,6,7,7,7,7,684,7,7,10,4,28,14,1.1149190748211437,-0.630178880522366,-1.1121063358564962,1.1442866201492612,1.0811595003718362,0.5611195533170845,1,2,1,0
3,2,2,6,4,2,4,1,4,4,3,1,1,6,2,6,5,3,3,7,7,7,7,7,814,7,7,11,14,28,14,1.5832801382458026,-0.41096369428802326,0.9823771016648657,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
3,2,2,6,4,2,4,1,6,5,2,3,3,2,2,6,5,5,4,6,5,5,5,6,1,5,5,14,10,21,10,-1.3457778968637948,0.24668186441500492,0.14458372665632088,-0.39302403423456883,-0.29323709965006184,0.5611195533170845,1,3,1,1
3,2,2,5,4,2,3,1,5,5,5,1,1,4,4,2,2,2,2,7,7,7,7,7,451,7,7,6,10,28,14,0.27547193806771675,-1.507039625459737,0.14458372665632088,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
4,1,2,3,4,3,4,1,6,3,6,3,3,1,1,1,2,6,1,7,5,7,7,7,468,7,7,9,3,26,14,0.33671915405401825,-0.8493940667567087,-1.3215546796086324,0.7050550046110241,1.0811595003718362,1.0944983646724256,0,3,2,1
3,2,2,5,4,2,6,2,3,1,1,6,6,4,5,6,2,2,3,1,4,4,5,4,163,5,4,7,15,17,9,-0.7621279562884505,-1.2878244392253941,1.1918254454170019,-1.2714872653110432,-0.6368362496555363,-2.105774503459621,1,3,1,1
3,2,2,1,4,2,3,3,3,3,3,3,3,5,5,5,5,5,5,2,5,5,5,5,5,3,2,15,15,20,5,-1.331366787219959,0.46589705064934767,1.1918254454170019,-0.6126398420036874,-2.0112328496774343,-1.5723956921042799,1,3,1,1
3,2,2,6,4,2,1,1,1,1,1,1,1,2,2,5,3,2,4,7,7,7,7,7,16,7,7,9,9,28,14,-1.291736235699411,-0.8493940667567087,-0.0648646170958153,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
3,2,1,6,3,3,4,1,4,4,3,3,3,2,3,4,4,2,4,3,4,7,6,4,147,7,5,10,9,21,12,-0.8197723948637932,-0.630178880522366,-0.0648646170958153,-0.39302403423456883,0.3939612003608871,-1.0390168807489388,1,2,2,0
5,2,2,6,4,3,6,2,5,5,6,2,2,4,4,5,2,6,2,4,6,6,6,6,8,4,4,10,13,24,8,-1.3205584549870824,-0.630178880522366,0.7729287579127294,0.26582338907278696,-0.9804353996610108,-0.5056380693935977,1,3,2,1
5,2,2,6,4,3,5,2,5,5,4,2,2,6,1,1,3,6,1,5,7,6,7,6,841,6,6,10,8,26,12,1.6805551283416933,-0.630178880522366,-0.2743129608479515,0.7050550046110241,0.3939612003608871,0.02774074196174343,1,3,2,1
4,2,2,5,3,2,4,4,2,3,4,1,1,5,5,3,5,3,5,7,7,7,7,7,137,7,7,13,13,28,14,-0.8558001689733824,0.0274666781806622,0.7729287579127294,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,2,1,1
3,1,1,3,4,7,3,3,6,2,6,1,1,2,5,5,5,2,2,7,4,5,5,5,128,7,6,9,12,19,13,-0.8882251656720126,-0.8493940667567087,0.5634804141605932,-0.832255649772806,0.7375603503663616,1.0944983646724256,0,3,6,0
3,2,2,5,4,2,6,6,6,2,4,1,1,5,2,3,4,5,3,7,5,6,6,5,243,7,6,12,10,22,13,-0.47390576341173746,-0.19174850805368054,0.14458372665632088,-0.17340822646545023,0.7375603503663616,1.0944983646724256,1,3,1,1
3,2,1,4,3,2,6,3,5,1,4,2,2,5,3,5,1,2,1,7,7,7,7,7,142,7,7,4,13,28,14,-0.8377862819185878,-1.9454699979284225,0.7729287579127294,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,2,1,0
4,2,2,5,4,2,5,1,3,3,3,2,2,3,2,1,1,5,2,5,5,6,6,5,327,6,5,8,6,22,11,-0.17127246089118864,-1.0686092529910514,-0.6932096483522239,-0.17340822646545023,0.050362050355412635,0.02774074196174343,1,3,1,1
3,2,2,6,4,2,4,3,2,2,1,4,4,3,5,4,6,2,2,2,4,4,4,5,864,1,1,10,12,17,2,1.7634190087937482,-0.630178880522366,0.5634804141605932,-1.2714872653110432,-3.0420302996938577,-1.5723956921042799,1,3,1,1
3,2,2,5,4,2,4,1,4,2,2,3,3,2,3,2,5,3,3,6,3,5,3,3,832,3,2,11,7,14,5,1.648130131643063,-0.41096369428802326,-0.4837613046000877,-1.930334688618399,-2.0112328496774343,0.5611195533170845,1,3,1,1
3,2,2,5,4,2,2,3,3,6,1,6,6,4,3,3,5,4,3,1,5,5,5,5,825,3,3,12,10,20,6,1.6229106897663508,-0.19174850805368054,0.14458372665632088,-0.6126398420036874,-1.6676336996719598,-2.105774503459621,1,3,1,1
4,2,2,5,4,3,4,4,4,4,4,4,4,2,2,2,2,6,2,4,5,5,5,5,8,4,5,10,6,20,9,-1.3205584549870824,-0.630178880522366,-0.6932096483522239,-0.6126398420036874,-0.6368362496555363,-0.5056380693935977,1,3,2,1
3,2,2,5,4,2,6,4,3,3,4,3,3,3,4,4,3,5,3,3,2,3,5,3,421,6,3,11,11,13,9,0.1673886157389493,-0.41096369428802326,0.3540320704084571,-2.1499504963875173,-0.6368362496555363,-1.0390168807489388,1,3,1,1
3,2,1,5,4,2,1,3,1,1,1,3,3,5,5,5,5,5,5,1,7,7,7,7,4,6,6,15,15,28,12,-1.3349695646309179,0.46589705064934767,1.1918254454170019,1.1442866201492612,0.3939612003608871,-2.105774503459621,1,3,1,0
3,2,2,6,4,3,2,2,6,4,1,2,2,5,3,5,2,2,2,3,6,7,7,7,15,5,5,6,13,27,10,-1.29533901311037,-1.507039625459737,0.7729287579127294,0.9246708123801427,-0.29323709965006184,-1.0390168807489388,1,3,2,1
3,2,2,6,4,2,6,1,6,1,2,6,6,2,4,4,1,7,1,1,6,2,6,6,531,2,2,9,10,20,4,0.5636941309444299,-0.8493940667567087,0.14458372665632088,-0.6126398420036874,-2.354831999682909,-2.105774503459621,1,3,1,1
3,2,2,1,3,2,4,4,4,4,4,4,4,6,6,6,6,7,4,3,6,6,5,7,624,5,6,17,18,24,11,0.898752430163609,0.9043274231180332,1.8201704766734104,0.26582338907278696,0.050362050355412635,-1.0390168807489388,1,2,1,1
5,2,2,6,4,3,5,1,4,5,2,1,1,1,1,1,5,2,1,7,7,7,7,7,814,7,7,8,3,28,14,1.5832801382458026,-1.0686092529910514,-1.3215546796086324,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,2,1
3,1,2,2,4,1,2,1,2,1,1,1,1,3,4,4,7,7,6,6,7,7,7,7,264,7,7,20,11,28,14,-0.39824743778160027,1.5619729818210613,0.3540320704084571,1.1442866201492612,1.0811595003718362,0.5611195533170845,0,3,0,1
3,1,2,2,3,5,2,6,3,1,3,4,4,4,6,5,6,7,6,4,6,5,6,6,567,6,6,19,15,23,12,0.6933941177389508,1.3427577955867187,1.1918254454170019,0.04620758130366836,0.3939612003608871,-0.5056380693935977,0,2,4,1
3,2,2,2,4,2,2,1,1,1,1,2,2,7,7,7,6,5,7,6,7,7,7,7,346,6,7,18,21,28,13,-0.10281969008296928,1.123542609352376,2.448515507929819,1.1442866201492612,0.7375603503663616,0.5611195533170845,1,3,1,1
4,2,2,2,3,3,1,2,1,1,1,1,1,1,1,2,7,6,7,6,7,7,7,7,287,7,4,20,4,28,11,-0.3153835573295452,1.5619729818210613,-1.1121063358564962,1.1442866201492612,0.050362050355412635,0.5611195533170845,1,2,2,1
2,2,2,2,4,2,2,6,2,1,4,1,1,1,1,1,6,4,5,7,6,7,7,7,284,4,5,15,3,27,9,-0.32619188956242195,0.46589705064934767,-1.3215546796086324,0.9246708123801427,-0.6368362496555363,1.0944983646724256,1,3,1,1
3,2,2,3,4,2,3,6,5,4,5,5,5,7,6,5,5,2,1,3,5,6,5,7,412,6,6,8,18,23,12,0.13496361904031906,-1.0686092529910514,1.8201704766734104,0.04620758130366836,0.3939612003608871,-1.0390168807489388,1,3,1,1
3,2,2,2,4,2,1,1,1,1,1,2,2,7,7,7,7,6,7,5,7,7,7,7,826,6,6,20,21,28,12,1.6265134671773096,1.5619729818210613,2.448515507929819,1.1442866201492612,0.3939612003608871,0.02774074196174343,1,3,1,1
3,2,2,2,4,2,1,1,1,1,1,2,2,1,1,1,7,6,6,7,7,7,7,7,386,7,1,19,3,28,8,0.0412914063553873,1.3427577955867187,-1.3215546796086324,1.1442866201492612,-0.9804353996610108,1.0944983646724256,1,3,1,1
3,2,2,2,4,2,6,5,1,6,6,6,6,7,7,7,7,6,7,6,7,7,7,7,642,7,7,20,21,28,14,0.9636024235608693,1.5619729818210613,2.448515507929819,1.1442866201492612,1.0811595003718362,0.5611195533170845,1,3,1,1
4,2,2,4,4,1,4,6,5,1,2,5,5,5,5,1,2,6,3,4,6,7,7,7,371,7,7,11,11,27,14,-0.012750254808996414,-0.41096369428802326,0.3540320704084571,0.9246708123801427,1.0811595003718362,-0.5056380693935977,1,3,0,1
4,2,2,2,3,3,1,2,1,1,1,1,1,1,1,1,7,6,7,7,7,7,7,7,278,7,7,20,3,28,14,-0.34780855402817545,1.5619729818210613,-1.3215546796086324,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,2,2,1
3,2,2,2,4,2,5,6,5,6,5,1,1,7,6,7,6,7,7,6,7,7,7,7,128,6,7,20,20,28,13,-0.8882251656720126,1.5619729818210613,2.239067164177683,1.1442866201492612,0.7375603503663616,0.5611195533170845,1,3,1,1
2,2,2,3,4,2,3,4,2,1,4,1,1,1,1,1,3,2,2,7,7,7,6,7,843,7,6,7,3,27,13,1.6877606831636112,-1.2878244392253941,-1.3215546796086324,0.9246708123801427,0.7375603503663616,1.0944983646724256,1,3,1,1
4,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,7,7,7,7,7,6,7,7,847,7,7,21,4,27,14,1.702171792807447,1.781188168055404,-1.1121063358564962,0.9246708123801427,1.0811595003718362,1.0944983646724256,1,1,1,1
2,2,1,4,1,6,1,2,1,2,1,1,1,2,2,2,7,7,7,7,7,7,7,7,385,7,7,21,6,28,14,0.037688628944428385,1.781188168055404,-0.6932096483522239,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,0,5,0
3,2,2,3,3,3,1,5,3,5,4,1,1,1,1,2,4,1,2,6,7,7,7,7,876,7,6,7,4,28,13,1.8066523377252552,-1.2878244392253941,-1.1121063358564962,1.1442866201492612,0.7375603503663616,0.5611195533170845,1,2,2,1
3,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,7,7,7,5,7,7,7,7,247,7,7,21,5,28,14,-0.4594946537679018,1.781188168055404,-0.90265799210436,1.1442866201492612,1.0811595003718362,0.02774074196174343,1,2,1,1
5,2,2,2,4,2,5,6,6,6,6,4,4,7,7,7,7,7,7,5,7,7,7,7,624,7,7,21,21,28,14,0.898752430163609,1.781188168055404,2.448515507929819,1.1442866201492612,1.0811595003718362,0.02774074196174343,1,3,1,1
3,2,2,4,2,3,1,1,2,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,281,7,7,21,3,28,14,-0.3370002217952987,1.781188168055404,-1.3215546796086324,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,1,2,1
3,2,2,2,3,1,2,4,3,1,3,1,1,1,1,1,2,6,2,6,7,7,7,6,78,7,6,10,3,27,13,-1.0683640362199582,-0.630178880522366,-1.3215546796086324,0.9246708123801427,0.7375603503663616,0.5611195533170845,1,2,0,1
2,1,2,2,3,2,1,2,3,2,5,1,1,1,1,1,4,3,5,7,7,7,7,6,374,7,6,12,3,27,13,-0.0019419225761196709,-0.19174850805368054,-1.3215546796086324,0.9246708123801427,0.7375603503663616,1.0944983646724256,0,2,1,1
3,1,2,2,4,2,2,3,3,1,6,1,1,2,2,2,1,1,2,5,7,7,6,7,63,7,7,4,6,27,14,-1.122405697384342,-1.9454699979284225,-0.6932096483522239,0.9246708123801427,1.0811595003718362,0.02774074196174343,0,3,1,1
3,2,2,2,4,2,2,2,4,1,3,1,1,1,1,1,5,1,5,7,7,7,7,6,372,6,6,11,3,27,12,-0.0091474773980375,-0.41096369428802326,-1.3215546796086324,0.9246708123801427,0.3939612003608871,1.0944983646724256,1,3,1,1
5,2,2,2,3,2,1,1,1,1,1,1,1,2,1,1,7,7,7,7,7,7,7,6,487,7,7,21,4,27,14,0.40517192486223763,1.781188168055404,-1.1121063358564962,0.9246708123801427,1.0811595003718362,1.0944983646724256,1,2,1,1
3,2,1,2,3,2,1,4,3,1,5,1,1,5,6,1,4,5,3,5,7,7,6,7,738,7,7,12,12,27,14,1.309469055012925,-0.19174850805368054,0.5634804141605932,0.9246708123801427,1.0811595003718362,0.02774074196174343,1,2,1,0
2,2,1,2,3,6,1,1,1,1,1,1,1,1,1,1,7,6,7,6,7,7,7,6,764,7,7,20,3,27,14,1.403141267697857,1.5619729818210613,-1.3215546796086324,0.9246708123801427,1.0811595003718362,0.5611195533170845,1,2,5,0
4,2,2,2,3,3,1,1,1,1,1,1,1,1,2,2,7,6,6,7,7,7,7,7,487,7,7,19,5,28,14,0.40517192486223763,1.3427577955867187,-0.90265799210436,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,2,2,1
3,2,2,2,4,2,3,4,1,2,5,2,2,1,2,1,6,2,3,6,7,6,6,7,374,7,5,11,4,26,12,-0.0019419225761196709,-0.41096369428802326,-1.1121063358564962,0.7050550046110241,0.3939612003608871,0.5611195533170845,1,3,1,1
4,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,7,7,6,6,7,7,7,6,172,7,7,20,3,27,14,-0.7297029595898203,1.5619729818210613,-1.3215546796086324,0.9246708123801427,1.0811595003718362,0.5611195533170845,0,1,4,1
3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,7,5,6,6,7,7,7,7,287,7,7,18,3,28,14,-0.3153835573295452,1.123542609352376,-1.3215546796086324,1.1442866201492612,1.0811595003718362,0.5611195533170845,1,2,0,1
3,2,2,3,4,2,5,3,1,2,2,1,1,1,1,1,3,1,5,7,7,6,5,7,243,5,5,9,3,25,10,-0.47390576341173746,-0.8493940667567087,-1.3215546796086324,0.4854391968419055,-0.29323709965006184,1.0944983646724256,1,3,1,1
3,2,2,3,4,2,3,3,1,2,2,1,1,1,1,1,3,4,6,6,7,7,6,6,486,6,6,13,3,26,12,0.40156914745127875,0.0274666781806622,-1.3215546796086324,0.7050550046110241,0.3939612003608871,0.5611195533170845,1,3,1,1
3,2,2,2,4,2,3,3,1,1,4,1,1,1,1,1,6,1,1,6,7,7,6,6,243,5,6,8,3,26,11,-0.47390576341173746,-1.0686092529910514,-1.3215546796086324,0.7050550046110241,0.050362050355412635,0.5611195533170845,1,3,1,1
2,1,2,2,4,2,2,2,2,3,4,2,2,1,1,1,4,1,5,6,7,6,6,6,643,5,5,10,3,25,10,0.9672052009718283,-0.630178880522366,-1.3215546796086324,0.4854391968419055,-0.29323709965006184,0.5611195533170845,0,3,1,1
3,2,2,6,4,2,6,6,1,2,6,1,1,4,4,4,4,2,6,6,7,7,7,7,714,7,7,12,12,28,14,1.223002397149911,-0.19174850805368054,0.5634804141605932,1.1442866201492612,1.0811595003718362,0.5611195533170845,1,3,1,1
